id,platform,accountwallet,assettype,assetname,ticker,amount,nativecurrency,nativeprice,usdprice,totalnative,totalusd,timestamp
1,Nordnet,C2019,Crypto,Ethereum,ETHEREUM-XBT.ST,1000,SEK,224.22000122070312,21.63746775292406634301807731,224220.00122070312000,21637.46775292406634301807731,2024-10-06 10:02:19.734865
2,Nordnet,C2020,Crypto,Ethereum,ETHEREUM-XBT.ST,735,SEK,224.22000122070312,21.63746775292406634301807731,164801.70089721679320,15903.53879839918876211828682,2024-10-06 10:02:19.734865
3,Nordnet,C2017,Crypto,Bitcoin,BITCOIN-XBT.ST,125,SEK,2970.110107421875,286.6187731785666947085571289,371263.763427734375,35827.34664732083683856964111,2024-10-06 10:02:19.734865
4,Nordnet,C2017,Crypto,Solana,SOLVE.AS,962,EUR,12.071999549865723,13.24555520259423290273670405,11613.263566970825526,12742.22410489565205243270930,2024-10-06 10:02:19.734865
5,Nordnet,C2019,Crypto,Solana,SOLVE.AS,775,EUR,12.071999549865723,13.24555520259423290273670405,9355.799651145935325,10265.30528201053049962094564,2024-10-06 10:02:19.734865
6,Nordnet,C2017,Crypto,Ethereum,ETHEREUM-XBT.ST,1400,SEK,224.22000122070312,21.63746775292406634301807731,313908.00170898436800,30292.45485409369288022530823,2024-10-06 10:02:19.734865
7,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,SOL,SOL-USD,23.055260952,USD,143.8474578857422,143.8474578857422,3316.4406788376166211985744,3316.4406788376166211985744,2024-10-06 10:02:19.734865
8,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,JitoSOL,JitoSOL-USD,46.204793577,USD,164.5795593261718598933845855,164.5795593261718598933845855,7604.364565659396,7604.364565659396,2024-10-06 10:02:19.734865
9,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,USDC,USDC-USD,2500,USD,1.0,1.0,2500.0,2500.0,2024-10-06 10:02:19.734865
10,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,$WIF,$WIF-USD,11425.69008,USD,2.277900934219360516734758134,2.277900934219360516734758134,26026.59010733288,26026.59010733288,2024-10-06 10:02:19.734865
11,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,Manyu,Manyu-USD,88646.198099,USD,0.01725200004875659749302611769,0.01725200004875659749302611769,1529.324213926035,1529.324213926035,2024-10-06 10:02:19.734865
12,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,POPCAT,POPCAT-USD,20000,USD,1.2514127492904665,1.2514127492904665,25028.25498580933,25028.25498580933,2024-10-06 10:02:19.734865
13,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,mSOL,mSOL-USD,42.414161512,USD,176.1859893798828046486644878,176.1859893798828046486644878,7472.781009709866,7472.781009709866,2024-10-06 10:02:19.734865
14,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,HNT,HNT-USD,150,USD,7.098550319671630666666666667,7.098550319671630666666666667,1064.7825479507446,1064.7825479507446,2024-10-06 10:02:19.734865
15,Solana,91Cx4bC9gebA1pKxWANFRfQxkTw3VhsiqESoGZkeVpRg,Crypto,SOL,SOL-USD,50.015650710,USD,143.8474578857422,143.8474578857422,7194.6242091347169643069620,7194.6242091347169643069620,2024-10-06 10:02:19.734865
16,Solana,91Tv1BffxuonSvRoDqQEGfnSK5nAbS8Y9QAasjyTWLG6,Crypto,POPCAT,POPCAT-USD,1500,USD,1.251412749290466333333333333,1.251412749290466333333333333,1877.1191239356995,1877.1191239356995,2024-10-06 10:02:19.734865
17,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Ethereum,ETH-USD,0.040433029243825502,USD,2422.5878623862381573417223989963531494140625,2422.5878623862381573417223989963531494140625,97.95256588559947830213586127,97.95256588559947830213586127,2024-10-06 10:02:19.734865
18,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Aave Interest bearing DAI,aDAI-USD,29.206292927826244581,USD,0.98047727051723099211955059217871166765689849853515625,0.98047727051723099211955059217871166765689849853515625,28.63610637180178318832495637,28.63610637180178318832495637,2024-10-06 10:02:19.734865
19,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Wrapped Ether,WETH-USD,0.015332352941176471,USD,2422.5878623862381573417223989963531494140625,2422.5878623862381573417223989963531494140625,37.14397213711605839230794000,37.14397213711605839230794000,2024-10-06 10:02:19.734865
20,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Maker,MKR-USD,0.02,USD,1460.151783454670294304378330707550048828125,1460.151783454670294304378330707550048828125,29.20303566909340588608756661,29.20303566909340588608756661,2024-10-06 10:02:19.734865
21,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Dai Stablecoin,DAI-USD,18,USD,0.99970728447293877305668274857453070580959320068359375,0.99970728447293877305668274857453070580959320068359375,17.99473112051289791502028947,17.99473112051289791502028947,2024-10-06 10:02:19.734865
22,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,ether.fi ETH,eETH-USD,0.020345799354603984,USD,2395.83482233331733368686400353908538818359375,2395.83482233331733368686400353908538818359375,48.74517458196695847973536642,48.74517458196695847973536642,2024-10-06 10:02:19.734865
23,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,CRYPTOFORCE,COF-USD,9066236.246704335,USD,0.000002145478514329000118234826166574436001610592938959598541259765625,0.000002145478514329000118234826166574436001610592938959598541259765625,19.45141507313494685026878283,19.45141507313494685026878283,2024-10-06 10:02:19.734865
24,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,PAAL AI,$PAAL-USD,1920.989319389,USD,0.2323558931465032617591504049414652399718761444091796875,0.2323558931465032617591504049414652399718761444091796875,446.3531890315245104719788472,446.3531890315245104719788472,2024-10-06 10:02:19.734865
25,Ethereum,0xb42Bc5C2E168C95f6dbF4AA0733CA0Fa5B15B4F1,Crypto,Ethereum,ETH-USD,9.059570348486367556,USD,2422.5878623862381573417223989963531494140625,2422.5878623862381573417223989963531494140625,21947.60516467733587134328573,21947.60516467733587134328573,2024-10-06 10:02:19.734865
26,Coinbase,DEFAULT,Crypto,SUI,SUI-USD,750.1354000000000041836756281554698944091796875,USD,1.732899820485741604437313338,1.732899820485741604437313338,1299.909499999999979991116560995578765869140625,1299.909499999999979991116560995578765869140625,2024-10-06 10:02:19.734865
27,Coinbase,DEFAULT,Crypto,DOGE,DOGE-USD,8651.400999999999839928932487964630126953125,USD,0.1093250041236095729185449279,0.1093250041236095729185449279,945.8144499999999652573023922741413116455078125,945.8144499999999652573023922741413116455078125,2024-10-06 10:02:19.734865
28,Nordnet,C2019,Crypto,Ethereum,ETHEREUM-XBT.ST,1000,SEK,224.22000122070312,21.63746775292406634301807731,224220.00122070312000,21637.46775292406634301807731,2024-10-06 12:00:53.689571
29,Nordnet,C2020,Crypto,Ethereum,ETHEREUM-XBT.ST,735,SEK,224.22000122070312,21.63746775292406634301807731,164801.70089721679320,15903.53879839918876211828682,2024-10-06 12:00:53.689571
30,Nordnet,C2017,Crypto,Bitcoin,BITCOIN-XBT.ST,125,SEK,2970.110107421875,286.6187731785666947085571289,371263.763427734375,35827.34664732083683856964111,2024-10-06 12:00:53.689571
31,Nordnet,C2017,Crypto,Solana,SOLVE.AS,962,EUR,12.071999549865723,13.24555520259423290273670405,11613.263566970825526,12742.22410489565205243270930,2024-10-06 12:00:53.689571
32,Nordnet,C2019,Crypto,Solana,SOLVE.AS,775,EUR,12.071999549865723,13.24555520259423290273670405,9355.799651145935325,10265.30528201053049962094564,2024-10-06 12:00:53.689571
33,Nordnet,C2017,Crypto,Ethereum,ETHEREUM-XBT.ST,1400,SEK,224.22000122070312,21.63746775292406634301807731,313908.00170898436800,30292.45485409369288022530823,2024-10-06 12:00:53.689571
34,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,SOL,SOL-USD,23.055260952,USD,144.13546752929688,144.13546752929688,3323.08081632646227347942976,3323.08081632646227347942976,2024-10-06 12:00:53.689571
35,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,JitoSOL,JitoSOL-USD,46.204793577,USD,163.4245910644531392189234279,163.4245910644531392189234279,7550.999495538696,7550.999495538696,2024-10-06 12:00:53.689571
36,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,USDC,USDC-USD,2500,USD,1.0,1.0,2500.0,2500.0,2024-10-06 12:00:53.689571
37,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,$WIF,$WIF-USD,11425.69008,USD,2.257769107818603635711428294,2.257769107818603635711428294,25796.57009813347,25796.57009813347,2024-10-06 12:00:53.689571
38,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,Manyu,Manyu-USD,88646.198099,USD,0.01627700030803680457343874294,0.01627700030803680457343874294,1442.8941937637146,1442.8941937637146,2024-10-06 12:00:53.689571
39,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,POPCAT,POPCAT-USD,20000,USD,1.27344727516174315,1.27344727516174315,25468.945503234863,25468.945503234863,2024-10-06 12:00:53.689571
40,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,mSOL,mSOL-USD,42.414161512,USD,176.1213226318359288658333810,176.1213226318359288658333810,7470.03822381375,7470.03822381375,2024-10-06 12:00:53.689571
41,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,HNT,HNT-USD,150,USD,7.107078552246093333333333333,7.107078552246093333333333333,1066.061782836914,1066.061782836914,2024-10-06 12:00:53.689571
42,Solana,91Cx4bC9gebA1pKxWANFRfQxkTw3VhsiqESoGZkeVpRg,Crypto,SOL,SOL-USD,50.015650710,USD,144.13546752929688,144.13546752929688,7209.02919886785944197278480,7209.02919886785944197278480,2024-10-06 12:00:53.689571
43,Solana,91Tv1BffxuonSvRoDqQEGfnSK5nAbS8Y9QAasjyTWLG6,Crypto,POPCAT,POPCAT-USD,1500,USD,1.273447275161743133333333333,1.273447275161743133333333333,1910.1709127426147,1910.1709127426147,2024-10-06 12:00:53.689571
44,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Ethereum,ETH-USD,0.040433029243825502,USD,2426.26448503255005562095902860164642333984375,2426.26448503255005562095902860164642333984375,98.10122287657631839070685306,98.10122287657631839070685306,2024-10-06 12:00:53.689571
45,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Aave Interest bearing DAI,aDAI-USD,29.206292927826244581,USD,0.98047727051723099211955059217871166765689849853515625,0.98047727051723099211955059217871166765689849853515625,28.63610637180178318832495637,28.63610637180178318832495637,2024-10-06 12:00:53.689571
