id,platform,accountwallet,assettype,assetname,ticker,amount,nativecurrency,nativeprice,usdprice,totalnative,totalusd,timestamp
3844,Nordnet,C2019,Crypto,Ethereum,ETHEREUM-XBT.ST,1000,SEK,247.5500030517578,23.47892170025840967551800743,247550.0030517578000,23478.92170025840967551800743,2024-10-18 00:00:56.860313
3845,Nordnet,C2020,Crypto,Ethereum,ETHEREUM-XBT.ST,735,SEK,247.5500030517578,23.47892170025840967551800743,181949.2522430419830,17257.00744968993111150573546,2024-10-18 00:00:56.860313
3846,Nordnet,C2017,Crypto,Bitcoin,BITCOIN-XBT.ST,125,SEK,3295.080078125,312.5224245471035814977148438,411885.009765625,39065.30306838794768721435548,2024-10-18 00:00:56.860313
3847,Nordnet,C2017,Crypto,Solana,SOLVE.AS,962,EUR,13.088000297546387,14.17677653308385270662708506,12590.656286239624294,13638.05902482666630377525583,2024-10-18 00:00:56.860313
3848,Nordnet,C2019,Crypto,Solana,SOLVE.AS,775,EUR,13.088000297546387,14.17677653308385270662708506,10143.200230598449925,10987.00181313998584763599092,2024-10-18 00:00:56.860313
3849,Nordnet,C2017,Crypto,Ethereum,ETHEREUM-XBT.ST,1400,SEK,247.5500030517578,23.47892170025840967551800743,346570.0042724609200,32870.49038036177354572521040,2024-10-18 00:00:56.860313
3850,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,SOL,SOL-USD,23.047871045,USD,150.30616760253906,150.30616760253906,3464.23716817147706945551770,3464.23716817147706945551770,2024-10-18 00:00:56.860313
3851,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,SPX,SPX-USD,2618.85714978,USD,0.6950194239616392873019288750,0.6950194239616392873019288750,1820.1565876779161,1820.1565876779161,2024-10-18 00:00:56.860313
3852,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,JitoSOL,JitoSOL-USD,46.204793577,USD,172.1277923583984416769078297,172.1277923583984416769078297,7953.129114784518,7953.129114784518,2024-10-18 00:00:56.860313
3853,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,USDC,USDC-USD,500,USD,1.0,1.0,500.0,500.0,2024-10-18 00:00:56.860313
3854,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,$WIF,$WIF-USD,11511.761187,USD,2.544339895248412783113444551,2.544339895248412783113444551,29289.833252656324,29289.833252656324,2024-10-18 00:00:56.860313
3855,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,POPCAT,POPCAT-USD,20000,USD,1.3492400646209717,1.3492400646209717,26984.801292419434,26984.801292419434,2024-10-18 00:00:56.860313
3856,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,mSOL,mSOL-USD,42.414161512,USD,184.3647155761718739408755614,184.3647155761718739408755614,7819.674823561696,7819.674823561696,2024-10-18 00:00:56.860313
3857,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,HNT,HNT-USD,150,USD,5.798646926879882666666666667,5.798646926879882666666666667,869.7970390319824,869.7970390319824,2024-10-18 00:00:56.860313
3858,Solana,91Cx4bC9gebA1pKxWANFRfQxkTw3VhsiqESoGZkeVpRg,Crypto,SOL,SOL-USD,50.015650710,USD,150.30616760253906,150.30616760253906,7517.66077836731173409173260,7517.66077836731173409173260,2024-10-18 00:00:56.860313
3859,Solana,91Tv1BffxuonSvRoDqQEGfnSK5nAbS8Y9QAasjyTWLG6,Crypto,POPCAT,POPCAT-USD,1500,USD,1.349240064620971666666666667,1.349240064620971666666666667,2023.8600969314575,2023.8600969314575,2024-10-18 00:00:56.860313
